Run	Trial	Cond	Vid	Behav
1	1	1	1	0
2	412	2	2	0
3	413	2	3	0
4	209	1	4	0
5	5	1	5	0
6	211	1	6	0
7	417	2	7	0
8	418	2	8	0
9	9	1	9	0
10	10	1	10	0
11	421	2	11	0
12	217	1	12	0
13	13	1	13	1
14	14	1	14	0
15	220	1	15	1
16	426	2	16	0
17	427	2	17	1
18	428	2	18	0
19	429	2	19	0
20	20	1	20	0
21	21	1	21	0
22	432	2	22	0
23	228	1	23	0
24	434	2	24	0
25	25	1	25	0
26	231	1	26	0
27	27	1	27	1
28	28	1	28	0
29	234	1	29	0
30	30	1	30	0
31	31	1	31	0
32	32	1	32	0
33	443	2	33	0
34	34	1	34	0
35	35	1	35	0
36	36	1	36	0
37	447	2	37	0
38	448	2	38	0
39	244	1	39	0
40	245	1	40	0
41	41	1	41	0
42	247	1	42	0
43	248	1	43	0
44	454	2	44	0
45	45	1	45	0
46	251	1	46	0
47	457	2	47	0
48	458	2	48	0
49	49	1	49	0
50	460	2	50	0
51	51	1	51	0
52	52	1	52	0
53	463	2	53	0
54	464	2	54	0
55	260	1	55	0
56	261	1	56	0
57	467	2	57	0
58	263	1	58	0
59	264	1	59	0
60	60	1	60	1
61	61	1	61	0
62	267	1	62	1
63	473	2	63	1
64	269	1	64	0
65	270	1	65	1
66	476	2	66	0
67	477	2	67	0
68	68	1	68	0
69	69	1	69	0
70	480	2	70	0
71	71	1	71	0
72	72	1	72	0
73	483	2	73	0
74	74	1	74	0
75	485	2	75	0
76	76	1	76	0
77	77	1	77	0
78	283	1	78	0
79	489	2	79	1
80	490	2	80	0
81	286	1	81	0
82	82	1	82	0
83	288	1	83	1
84	289	1	84	0
85	85	1	85	0
86	86	1	86	0
87	497	2	87	0
88	88	1	88	0
89	499	2	89	0
90	500	2	90	0
91	501	2	91	0
92	92	1	92	1
93	93	1	93	0
94	94	1	94	0
95	95	1	95	0
96	506	2	96	0
97	507	2	97	0
98	98	1	98	0
99	304	1	99	1
100	510	2	100	1
101	511	2	101	0
102	512	2	102	0
103	103	1	103	0
104	104	1	104	0
105	105	1	105	0
106	311	2	106	0
107	107	1	107	0
108	108	1	108	1
109	314	2	109	0
110	520	2	110	1
111	111	1	111	0
112	317	2	112	0
113	113	1	113	0
114	524	2	114	0
115	115	1	115	0
116	321	2	116	0
117	117	1	117	0
118	323	2	118	0
119	324	2	119	0
120	325	2	120	0
121	326	2	121	0
122	122	1	122	0
123	328	2	123	0
124	329	2	124	0
125	125	1	125	0
126	331	2	126	0
127	127	1	127	0
128	538	2	128	0
129	129	1	129	0
130	130	1	130	1
131	336	2	131	0
132	132	1	132	0
133	543	2	133	0
134	544	2	134	0
135	545	2	135	0
136	136	1	136	0
137	547	2	137	1
138	343	2	138	1
139	139	1	139	0
140	345	2	140	0
141	551	2	141	0
142	142	1	142	0
143	143	1	143	0
144	144	1	144	0
145	555	2	145	0
146	146	1	146	0
147	557	2	147	0
148	353	2	148	0
149	354	2	149	0
150	150	1	150	0
151	561	2	151	0
152	562	2	152	0
153	563	2	153	1
154	564	2	154	0
155	565	2	155	1
156	156	1	156	0
157	362	2	157	0
158	363	2	158	0
159	364	2	159	0
160	160	1	160	1
161	161	1	161	0
162	572	2	162	0
163	368	2	163	0
164	574	2	164	1
165	575	2	165	0
166	166	1	166	1
167	167	1	167	0
168	168	1	168	0
169	169	1	169	0
170	170	1	170	1
171	581	2	171	0
172	582	2	172	0
173	378	2	173	0
174	584	2	174	0
175	175	1	175	0
176	381	2	176	0
177	382	2	177	0
178	383	2	178	0
179	384	2	179	0
180	590	2	180	1
181	386	2	181	0
182	592	2	182	0
183	388	2	183	1
184	389	2	184	0
185	595	2	185	1
186	186	1	186	0
187	187	1	187	0
